Mês;Afluência (m³/s);Defluência (m³/s);Vazão Vertida (m³/s);Vazão Turbinada (m³/s);Vazão Natural (m³/s);Volume Útil (%);Vazão Incremental (m³/s)
1;3629,61;2766,65;1224,71;1541,94;6180,08;61,27;554,86
2;4618,95;4511,46;3033,18;1478,29;4998,38;88,73;506,76
3;3259,19;3219,06;1294,58;1924,48;4072,31;94,99;451,25
4;2764,16;2692,87;956,97;1735,90;2995,40;97,48;322,67
5;1724,77;1721,42;334,71;1386,71;1825,77;98,06;181,01
6;1614,42;1660,40;169,20;1491,20;1804,14;98,19;225,00
7;1239,00;1312,59;9,84;1302,75;800,95;46,09;116,31
8;1063,14;1257,19;0,00;1257,19;661,37;37,69;108,25
9;1050,68;1142,83;0,00;1142,83;620,40;28,05;92,85
10;932,40;928,19;0,48;927,71;974,67;27,00;112,18
11;1253,17;1221,50;0,00;1221,50;891,59;26,12;84,03
12;1489,97;1237,39;0,00;1237,39;2253,65;36,59;255,22
